nohup: ignoring input
I tensorflow/stream_executor/dso_loader.cc:135] successfully opened CUDA library libcublas.so.8.0 locally
I tensorflow/stream_executor/dso_loader.cc:135] successfully opened CUDA library libcudnn.so.5 locally
I tensorflow/stream_executor/dso_loader.cc:135] successfully opened CUDA library libcufft.so.8.0 locally
I tensorflow/stream_executor/dso_loader.cc:135] successfully opened CUDA library libcuda.so.1 locally
I tensorflow/stream_executor/dso_loader.cc:135] successfully opened CUDA library libcurand.so.8.0 locally
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE3 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
I tensorflow/core/common_runtime/gpu/gpu_device.cc:885] Found device 0 with properties: 
name: TITAN X (Pascal)
major: 6 minor: 1 memoryClockRate (GHz) 1.531
pciBusID 0000:82:00.0
Total memory: 11.90GiB
Free memory: 5.98GiB
I tensorflow/core/common_runtime/gpu/gpu_device.cc:906] DMA: 0 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:916] 0:   Y 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:975] Creating TensorFlow device (/gpu:0) -> (device: 0, name: TITAN X (Pascal), pci bus id: 0000:82:00.0)
epoch: 0, train precision: 0.583200, train loss: 174.030037, valid precision: 0.602800, valid loss: 169.157844
epoch: 1, train precision: 0.684444, train loss: 135.991619, valid precision: 0.699600, valid loss: 133.025722
epoch: 2, train precision: 0.722422, train loss: 116.684536, valid precision: 0.719600, valid loss: 115.901657
epoch: 3, train precision: 0.756956, train loss: 101.575049, valid precision: 0.738800, valid loss: 103.556228
epoch: 4, train precision: 0.775156, train loss: 92.564421, valid precision: 0.757200, valid loss: 96.121571
epoch: 5, train precision: 0.791644, train loss: 84.890026, valid precision: 0.769200, valid loss: 90.308193
epoch: 6, train precision: 0.814200, train loss: 76.840530, valid precision: 0.777800, valid loss: 84.617818
epoch: 7, train precision: 0.819022, train loss: 74.054612, valid precision: 0.784400, valid loss: 82.528885
epoch: 8, train precision: 0.828356, train loss: 69.800765, valid precision: 0.794600, valid loss: 79.327030
epoch: 9, train precision: 0.835711, train loss: 66.509251, valid precision: 0.795400, valid loss: 78.407600
epoch: 10, train precision: 0.846889, train loss: 61.435148, valid precision: 0.800400, valid loss: 75.524656
epoch: 11, train precision: 0.859822, train loss: 57.784052, valid precision: 0.806600, valid loss: 72.505251
epoch: 12, train precision: 0.861844, train loss: 56.459213, valid precision: 0.808800, valid loss: 72.476587
epoch: 13, train precision: 0.868022, train loss: 54.248814, valid precision: 0.819200, valid loss: 70.180975
epoch: 14, train precision: 0.876978, train loss: 51.276663, valid precision: 0.821200, valid loss: 67.991215
epoch: 15, train precision: 0.879911, train loss: 49.627559, valid precision: 0.819400, valid loss: 67.662220
epoch: 16, train precision: 0.884956, train loss: 47.715615, valid precision: 0.824200, valid loss: 66.621309
epoch: 17, train precision: 0.891956, train loss: 45.594215, valid precision: 0.828800, valid loss: 65.172685
epoch: 18, train precision: 0.899111, train loss: 42.989158, valid precision: 0.833600, valid loss: 64.068843
epoch: 19, train precision: 0.891156, train loss: 44.861587, valid precision: 0.834000, valid loss: 64.608989
epoch: 20, train precision: 0.902111, train loss: 41.346836, valid precision: 0.830200, valid loss: 63.882432
epoch: 21, train precision: 0.910689, train loss: 38.942393, valid precision: 0.834600, valid loss: 62.600049
epoch: 22, train precision: 0.914578, train loss: 37.206321, valid precision: 0.836400, valid loss: 61.229335
epoch: 23, train precision: 0.915667, train loss: 36.857873, valid precision: 0.835200, valid loss: 62.471356
epoch: 24, train precision: 0.919556, train loss: 35.135296, valid precision: 0.836800, valid loss: 62.006264
epoch: 25, train precision: 0.923156, train loss: 34.144634, valid precision: 0.842000, valid loss: 60.644364
epoch: 26, train precision: 0.924533, train loss: 33.304951, valid precision: 0.841600, valid loss: 61.454562
epoch: 27, train precision: 0.930556, train loss: 31.430455, valid precision: 0.839200, valid loss: 61.190892
epoch: 28, train precision: 0.934933, train loss: 30.554332, valid precision: 0.842000, valid loss: 60.444318
epoch: 29, train precision: 0.935467, train loss: 29.723697, valid precision: 0.840800, valid loss: 60.229125
epoch: 30, train precision: 0.935267, train loss: 29.409835, valid precision: 0.840800, valid loss: 60.404025
epoch: 31, train precision: 0.936689, train loss: 28.843688, valid precision: 0.845600, valid loss: 60.288583
epoch: 32, train precision: 0.938956, train loss: 28.243795, valid precision: 0.844400, valid loss: 61.253162
epoch: 33, train precision: 0.941800, train loss: 27.170289, valid precision: 0.850000, valid loss: 59.403201
epoch: 34, train precision: 0.944911, train loss: 26.472815, valid precision: 0.850400, valid loss: 58.545593
epoch: 35, train precision: 0.949000, train loss: 25.328085, valid precision: 0.846600, valid loss: 59.261945
epoch: 36, train precision: 0.947333, train loss: 25.304437, valid precision: 0.845400, valid loss: 59.259243
epoch: 37, train precision: 0.953156, train loss: 23.767910, valid precision: 0.847600, valid loss: 58.795342
epoch: 38, train precision: 0.952800, train loss: 23.757836, valid precision: 0.853400, valid loss: 57.738347
epoch: 39, train precision: 0.950622, train loss: 24.120362, valid precision: 0.849200, valid loss: 59.414680
epoch: 40, train precision: 0.957289, train loss: 22.136175, valid precision: 0.848200, valid loss: 60.015559
epoch: 41, train precision: 0.956689, train loss: 22.500596, valid precision: 0.852000, valid loss: 58.917166
epoch: 42, train precision: 0.957178, train loss: 22.120274, valid precision: 0.850400, valid loss: 58.766849
epoch: 43, train precision: 0.960044, train loss: 21.160231, valid precision: 0.854400, valid loss: 59.436591
epoch: 44, train precision: 0.959200, train loss: 21.276558, valid precision: 0.854600, valid loss: 59.805664
epoch: 45, train precision: 0.961333, train loss: 20.581896, valid precision: 0.851800, valid loss: 60.062036
epoch: 46, train precision: 0.964622, train loss: 19.721770, valid precision: 0.852600, valid loss: 58.168113
epoch: 47, train precision: 0.963111, train loss: 19.977226, valid precision: 0.850200, valid loss: 60.837423
epoch: 48, train precision: 0.963200, train loss: 19.725029, valid precision: 0.851000, valid loss: 58.891405
epoch: 49, train precision: 0.965022, train loss: 19.331694, valid precision: 0.857000, valid loss: 59.807070
epoch: 50, train precision: 0.967133, train loss: 18.431203, valid precision: 0.853000, valid loss: 58.780901
epoch: 51, train precision: 0.969844, train loss: 17.661503, valid precision: 0.857400, valid loss: 59.201718
epoch: 52, train precision: 0.967311, train loss: 18.409732, valid precision: 0.859000, valid loss: 58.451528
epoch: 53, train precision: 0.969178, train loss: 17.766843, valid precision: 0.856400, valid loss: 60.051901
epoch: 54, train precision: 0.968378, train loss: 17.944961, valid precision: 0.849200, valid loss: 60.889006
epoch: 55, train precision: 0.965978, train loss: 18.439777, valid precision: 0.851600, valid loss: 61.906871
epoch: 56, train precision: 0.970578, train loss: 17.161829, valid precision: 0.851800, valid loss: 60.631296
epoch: 57, train precision: 0.973778, train loss: 16.220602, valid precision: 0.858000, valid loss: 58.716204
epoch: 58, train precision: 0.973333, train loss: 16.228066, valid precision: 0.858800, valid loss: 59.413608
epoch: 59, train precision: 0.973867, train loss: 16.044380, valid precision: 0.855600, valid loss: 59.512894
epoch: 60, train precision: 0.971733, train loss: 16.650579, valid precision: 0.856200, valid loss: 60.414707
epoch: 61, train precision: 0.971711, train loss: 16.764852, valid precision: 0.852800, valid loss: 61.760955
epoch: 62, train precision: 0.974044, train loss: 15.941109, valid precision: 0.856600, valid loss: 60.289901
epoch: 63, train precision: 0.973578, train loss: 15.737313, valid precision: 0.858600, valid loss: 61.300482
epoch: 64, train precision: 0.974778, train loss: 15.658617, valid precision: 0.861000, valid loss: 59.430651
epoch: 65, train precision: 0.975556, train loss: 15.300264, valid precision: 0.861800, valid loss: 58.944158
epoch: 66, train precision: 0.977467, train loss: 14.442898, valid precision: 0.860600, valid loss: 59.163416
epoch: 67, train precision: 0.978000, train loss: 14.599665, valid precision: 0.861600, valid loss: 60.559533
epoch: 68, train precision: 0.976667, train loss: 14.722483, valid precision: 0.856800, valid loss: 61.034261
epoch: 69, train precision: 0.979911, train loss: 13.947281, valid precision: 0.858400, valid loss: 61.604581
epoch: 70, train precision: 0.978067, train loss: 14.484016, valid precision: 0.856200, valid loss: 61.517098
epoch: 71, train precision: 0.978622, train loss: 14.205404, valid precision: 0.860600, valid loss: 60.921827
epoch: 72, train precision: 0.982311, train loss: 13.329949, valid precision: 0.861200, valid loss: 58.953428
epoch: 73, train precision: 0.980578, train loss: 13.763269, valid precision: 0.861400, valid loss: 61.388816
epoch: 74, train precision: 0.980444, train loss: 13.718836, valid precision: 0.862000, valid loss: 61.544448
epoch: 75, train precision: 0.979467, train loss: 13.789138, valid precision: 0.857800, valid loss: 62.579557
epoch: 76, train precision: 0.982378, train loss: 12.933474, valid precision: 0.859400, valid loss: 63.032454
epoch: 77, train precision: 0.984933, train loss: 12.432973, valid precision: 0.858800, valid loss: 62.236350
epoch: 78, train precision: 0.981333, train loss: 13.298206, valid precision: 0.852200, valid loss: 63.312793
epoch: 79, train precision: 0.980000, train loss: 13.752781, valid precision: 0.858200, valid loss: 61.624108
epoch: 80, train precision: 0.981867, train loss: 12.940643, valid precision: 0.858600, valid loss: 60.959463
epoch: 81, train precision: 0.983711, train loss: 12.303381, valid precision: 0.860000, valid loss: 60.476413
epoch: 82, train precision: 0.984333, train loss: 12.226083, valid precision: 0.858800, valid loss: 61.051383
epoch: 83, train precision: 0.984200, train loss: 12.246658, valid precision: 0.860000, valid loss: 61.970597
epoch: 84, train precision: 0.981956, train loss: 12.803619, valid precision: 0.861600, valid loss: 62.788090
epoch: 85, train precision: 0.984356, train loss: 12.267968, valid precision: 0.853400, valid loss: 63.512264
