nohup: ignoring input
I tensorflow/stream_executor/dso_loader.cc:135] successfully opened CUDA library libcublas.so.8.0 locally
I tensorflow/stream_executor/dso_loader.cc:135] successfully opened CUDA library libcudnn.so.5 locally
I tensorflow/stream_executor/dso_loader.cc:135] successfully opened CUDA library libcufft.so.8.0 locally
I tensorflow/stream_executor/dso_loader.cc:135] successfully opened CUDA library libcuda.so.1 locally
I tensorflow/stream_executor/dso_loader.cc:135] successfully opened CUDA library libcurand.so.8.0 locally
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE3 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX2 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use FMA instructions, but these are available on your machine and could speed up CPU computations.
I tensorflow/core/common_runtime/gpu/gpu_device.cc:885] Found device 0 with properties: 
name: TITAN X (Pascal)
major: 6 minor: 1 memoryClockRate (GHz) 1.531
pciBusID 0000:83:00.0
Total memory: 11.90GiB
Free memory: 7.77GiB
I tensorflow/core/common_runtime/gpu/gpu_device.cc:906] DMA: 0 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:916] 0:   Y 
I tensorflow/core/common_runtime/gpu/gpu_device.cc:975] Creating TensorFlow device (/gpu:0) -> (device: 0, name: TITAN X (Pascal), pci bus id: 0000:83:00.0)
epoch: 0, train precision: 0.565622, train loss: 159.091352, valid precision: 0.588800, valid loss: 151.171704
epoch: 1, train precision: 0.642444, train loss: 131.033301, valid precision: 0.661800, valid loss: 124.615899
epoch: 2, train precision: 0.703578, train loss: 108.332395, valid precision: 0.702200, valid loss: 108.567440
epoch: 3, train precision: 0.733622, train loss: 99.856692, valid precision: 0.731200, valid loss: 100.421175
epoch: 4, train precision: 0.762644, train loss: 88.732050, valid precision: 0.749400, valid loss: 92.747242
epoch: 5, train precision: 0.772067, train loss: 84.387096, valid precision: 0.756200, valid loss: 90.057527
epoch: 6, train precision: 0.789400, train loss: 79.269420, valid precision: 0.763200, valid loss: 87.313002
epoch: 7, train precision: 0.807489, train loss: 72.689074, valid precision: 0.774800, valid loss: 82.710838
epoch: 8, train precision: 0.812756, train loss: 70.435011, valid precision: 0.783200, valid loss: 80.121042
epoch: 9, train precision: 0.828356, train loss: 65.458904, valid precision: 0.791400, valid loss: 77.234226
epoch: 10, train precision: 0.822111, train loss: 66.086090, valid precision: 0.788000, valid loss: 79.155072
epoch: 11, train precision: 0.826333, train loss: 64.221896, valid precision: 0.785800, valid loss: 79.804162
epoch: 12, train precision: 0.838711, train loss: 61.640595, valid precision: 0.795400, valid loss: 75.154761
epoch: 13, train precision: 0.840533, train loss: 59.274654, valid precision: 0.795000, valid loss: 76.961464
epoch: 14, train precision: 0.850333, train loss: 56.768998, valid precision: 0.795800, valid loss: 76.517944
epoch: 15, train precision: 0.852844, train loss: 56.957602, valid precision: 0.797000, valid loss: 74.321096
epoch: 16, train precision: 0.856533, train loss: 54.381097, valid precision: 0.800800, valid loss: 73.566022
epoch: 17, train precision: 0.864089, train loss: 52.664621, valid precision: 0.808000, valid loss: 71.767228
epoch: 18, train precision: 0.867778, train loss: 50.866974, valid precision: 0.809800, valid loss: 71.609135
epoch: 19, train precision: 0.869222, train loss: 49.256836, valid precision: 0.804400, valid loss: 72.210356
epoch: 20, train precision: 0.875756, train loss: 48.029340, valid precision: 0.813600, valid loss: 69.986862
epoch: 21, train precision: 0.872600, train loss: 48.992516, valid precision: 0.810400, valid loss: 71.660749
epoch: 22, train precision: 0.877956, train loss: 47.287229, valid precision: 0.807200, valid loss: 72.155920
epoch: 23, train precision: 0.880111, train loss: 46.627088, valid precision: 0.818200, valid loss: 69.711884
epoch: 24, train precision: 0.881022, train loss: 45.745741, valid precision: 0.815400, valid loss: 69.005139
